bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
28,"normal","High","Windows","hp@gmail.com","ASSIGNED","---","Their is no proper validations email field"
29,"minor","Low","Windows","hp@gmail.com","ASSIGNED","---","Their is no charcater limitation in address field"
30,"major","High","Windows","hp@gmail.com","ASSIGNED","---","Thier is 10 digit validations but no other validations are working properly"
31,"minor","High","Windows","hp@gmail.com","ASSIGNED","---","Their is no validations in date of birth field, we can select today's date as our age which is incoorect"
32,"minor","Low","Windows","hp@gmail.com","ASSIGNED","---","Their is no hand sign in checkbox field"
33,"normal","High","Windows","hp@gmail.com","ASSIGNED","---","We can select any file format in picture field like .mp3, .mp4, .txt and all"
34,"minor","Low","Windows","hp@gmail.com","ASSIGNED","---","In current address field, its increase only vertical area and there is no limit in increase area which is incorrect and it should be increase horizontal area"
35,"major","High","Windows","hp@gmail.com","ASSIGNED","---","It's still shows all data after click on close button"
36,"minor","Lowest","Windows","hp@gmail.com","ASSIGNED","---","When i move my cursor on Alerts, Frame & Windows title, there is no hover effect"
37,"minor","Lowest","Windows","hp@gmail.com","ASSIGNED","---","When i move my cursor on Alerts, Frame & Windows option, there is no hover effect"
38,"minor","Low","Windows","hp@gmail.com","ASSIGNED","---","Alignments must be shown properly, but here its not show perfectly"
39,"minor","Lowest","Windows","kp@gmail.com","ASSIGNED","---","When i move my cursor on Widgets title, there is no hover effect"
40,"minor","Lowest","Windows","kp@gmail.com","ASSIGNED","---","When i move my cursor on Widgets option, its does not show any hover effect"
41,"minor","Low","Windows","kp@gmail.com","ASSIGNED","---","It doesn;t show any hover effect by clicking on question"
42,"minor","Normal","Windows","kp@gmail.com","ASSIGNED","---","If we type any one letter, then its show suggestion and we can select that color and its auto field that color but all colors are not availble (ex. pink, orange etc) and it can selected multiple colors properly"
43,"minor","Normal","Windows","kp@gmail.com","ASSIGNED","---","If we type any one letter, then its show suggestion and we can select that color and its auto field that color but all colors are not availble (ex. pink, orange etc) and we can select one color properly"
44,"minor","High","Windows","kp@gmail.com","ASSIGNED","---","Time is not working properly by enter value manually and its show time in 15 minutes difference, which is incoreect"
45,"minor","Normal","Windows","kp@gmail.com","ASSIGNED","---","Its show text interation in textbox, but does not erase or modify or edit that value in text field"
46,"minor","Normal","Windows","kp@gmail.com","ASSIGNED","---","More button is not clickable"
47,"minor","Low","Windows","kp@gmail.com","ASSIGNED","---","When i move my cursor on drop down menu, its shows hover effect on selected value, but its not working in last dropdown menu name ""standard multi selector"""
48,"minor","High","Windows","kp@gmail.com","ASSIGNED","---","Their is no scroll bar"
49,"minor","Lowest","Windows","kp@gmail.com","ASSIGNED","---","When i move my cursor on Interactions title, there is no hover effect which is incorrect"
50,"minor","Lowest","Windows","kp@gmail.com","ASSIGNED","---","When i move my cursor on Interactions option, its does not show any hover effect, which is incorrect"
51,"minor","Lowest","Windows","kp@gmail.com","ASSIGNED","---","Its should be highlighted that value or must be show hover effect when we click that value"
52,"minor","Lowest","Windows","kp@gmail.com","ASSIGNED","---","Its should be highlighted that value or must be show hover effect when we click that value"
53,"minor","High","Windows","kp@gmail.com","ASSIGNED","---","Resizable arrow is not visible after we use first time, so we can not resize after on time done, which is incorrect"
54,"minor","Normal","Windows","kp@gmail.com","ASSIGNED","---","When i drag ""drag me"" box from ""drop here"" box, it should be remove that highlighted color and remove message that ""dropped!"""
55,"minor","Normal","Windows","kp@gmail.com","ASSIGNED","---","When i first drag ""acceptable"" in ""drop here"" box, and after that i drag out from that box and drag ""not acceptable"" , its not remove that highlighted color and message ""dropped!"" which is not correct"
56,"minor","Normal","Windows","kp@gmail.com","ASSIGNED","---","If i drag ""drag me"" box from any boxes, its not turn into original color and does not remove message ""dropped!"" , which is incorrect"
57,"minor","Lowest","Windows","markand@gmail.com","ASSIGNED","---","When i move my cursor on Book Store Application title, there is no hover effect which is incorrect"
58,"enhancement","Lowest","Windows","markand@gmail.com","ASSIGNED","---","When i move my cursor on Book Store Application option, its does not show any hover effect, which is incorrect"
59,"normal","High","Windows","markand@gmail.com","ASSIGNED","---","There is no validations and limitations in these 3 fields which is incorrect"
60,"minor","Normal","Windows","markand@gmail.com","ASSIGNED","---","When i click on register button, its remain in same page, it should be redirect to login page"
61,"minor","Normal","Windows","markand@gmail.com","ASSIGNED","---","Search icon should be clickable and searchble books by using search field"
62,"minor","Highest","Windows","markand@gmail.com","ASSIGNED","---","When we click on book title, its open blank page"
63,"minor","High","Windows","markand@gmail.com","ASSIGNED","---","Some book's title is not shown properly, so arrangement of table is not done correctly"
64,"minor","Highest","Windows","markand@gmail.com","ASSIGNED","---","Since there is blank page, so here we can't see add to cart books , so we can't process other things"
